"Date","Price","Open","High","Low","Vol.","Change %"
"08/10/2021","45,581.6","46,286.6","46,674.7","44,632.1","0.13K","-1.52%"
"08/09/2021","46,286.6","43,820.4","46,439.4","42,829.3","0.12K","5.63%"
"08/08/2021","43,820.4","44,574.3","45,279.4","43,278.8","0.10K","-1.69%"
"08/07/2021","44,574.3","42,800.6","44,685.4","42,465.8","0.10K","4.14%"
"08/06/2021","42,800.6","40,853.1","43,320.6","39,890.2","0.12K","4.77%"
"08/05/2021","40,853.1","39,743.2","41,349.6","37,350.0","0.10K","2.79%"
"08/04/2021","39,745.0","38,189.2","39,957.0","37,525.0","0.06K","4.07%"
"08/03/2021","38,189.2","39,143.8","39,753.3","37,675.0","0.07K","-2.44%"
"08/02/2021","39,143.8","39,857.0","40,431.0","38,702.1","0.09K","-1.79%"
"08/01/2021","39,857.0","41,380.1","42,550.0","39,451.0","0.08K","-3.68%"
"07/31/2021","41,380.1","42,191.8","42,386.2","41,052.1","0.08K","-1.92%"
"07/30/2021","42,191.8","40,012.0","42,287.3","38,325.9","0.13K","5.45%"
"07/29/2021","40,012.0","40,019.9","40,600.0","39,287.7","0.10K","-0.02%"
"07/28/2021","40,019.9","39,489.8","40,830.7","38,800.0","0.18K","1.34%"
"07/27/2021","39,489.8","37,264.2","39,489.8","36,402.0","0.15K","5.97%"
"07/26/2021","37,264.2","35,374.2","40,559.5","35,209.8","0.28K","5.34%"
"07/25/2021","35,374.2","34,718.3","35,375.2","33,871.7","0.06K","4.65%"
"07/24/2021","33,802.0","33,589.1","33,999.8","33,400.3","0.06K","0.83%"
"07/23/2021","33,523.3","32,292.8","33,582.6","31,999.6","0.07K","3.81%"
"07/22/2021","32,292.8","32,131.0","32,575.1","31,725.0","0.06K","0.54%"
"07/21/2021","32,119.5","29,789.7","32,749.4","29,469.6","0.11K","7.82%"
"07/20/2021","29,789.7","30,825.2","31,036.2","29,238.5","0.06K","-3.36%"
"07/19/2021","30,825.2","31,760.8","31,873.1","30,407.3","0.06K","-2.95%"
"07/18/2021","31,760.8","31,523.0","32,381.8","31,133.4","0.04K","0.75%"
"07/17/2021","31,523.0","31,402.8","31,921.7","31,194.0","0.03K","0.38%"
"07/16/2021","31,402.8","31,835.3","32,198.0","31,008.1","0.05K","-1.36%"
"07/15/2021","31,835.3","32,827.6","33,155.2","31,152.4","0.06K","-3.02%"
"07/14/2021","32,827.6","32,739.4","33,089.0","31,600.0","0.05K","0.27%"
"07/13/2021","32,739.4","33,105.5","33,320.8","32,224.4","0.04K","-1.24%"
"07/12/2021","33,150.0","34,222.4","34,638.5","32,671.7","0.06K","-3.13%"
"07/11/2021","34,222.4","33,521.7","34,569.3","33,325.0","0.03K","2.09%"
"07/10/2021","33,521.7","33,807.9","34,225.9","33,050.0","0.04K","-0.85%"
"07/09/2021","33,807.9","32,997.6","34,083.6","32,623.0","0.06K","3.57%"
"07/08/2021","32,643.4","33,796.3","33,929.5","32,118.6","0.06K","-3.41%"
"07/07/2021","33,796.3","34,239.4","35,045.6","33,796.3","0.06K","-1.02%"
"07/06/2021","34,144.7","33,720.4","34,800.0","33,720.4","0.06K","1.25%"
"07/05/2021","33,722.7","35,313.0","35,313.0","33,609.1","0.07K","-4.50%"
"07/04/2021","35,313.0","35,523.6","35,787.5","35,313.0","0.06K","1.67%"
"07/03/2021","34,732.8","33,806.9","34,732.8","33,556.8","0.05K","2.74%"
"07/02/2021","33,806.9","33,512.9","33,806.9","32,851.4","0.06K","0.88%"
"07/01/2021","33,512.9","35,028.1","35,028.1","33,180.8","0.08K","-4.33%"
"06/30/2021","35,028.1","35,928.9","35,928.9","34,294.8","0.06K","-2.51%"
"06/29/2021","35,928.9","34,502.8","36,417.0","34,498.8","0.08K","4.25%"
"06/28/2021","34,463.9","34,653.2","34,712.5","34,115.2","0.07K","-0.55%"
"06/27/2021","34,653.2","32,225.7","34,653.2","32,225.7","0.07K","7.53%"
"06/26/2021","32,225.7","31,565.3","32,225.7","30,992.4","0.10K","2.09%"
"06/25/2021","31,565.3","34,667.2","34,667.2","31,565.3","0.09K","-8.95%"
"06/24/2021","34,667.2","33,666.6","34,772.5","32,512.6","0.06K","2.97%"
"06/23/2021","33,666.6","32,454.3","34,464.2","32,454.3","0.09K","3.74%"
"06/22/2021","32,454.3","31,623.9","32,814.4","29,850.0","0.14K","2.63%"
"06/21/2021","31,623.9","35,615.1","35,615.1","31,623.9","0.14K","-11.21%"
"06/20/2021","35,615.1","35,523.7","35,730.6","33,368.7","0.08K","0.26%"
"06/19/2021","35,523.7","35,792.5","36,220.5","35,424.5","0.05K","-0.75%"
"06/18/2021","35,792.5","38,049.4","38,049.4","35,175.0","0.08K","-5.93%"
"06/17/2021","38,049.4","38,327.3","39,358.8","37,683.7","0.05K","-0.73%"
"06/16/2021","38,327.3","40,149.0","40,178.4","38,327.3","0.11K","-4.54%"
"06/15/2021","40,149.0","40,501.5","40,501.5","39,797.2","0.33K","-0.87%"
"06/14/2021","40,501.5","39,019.0","40,730.3","38,914.1","0.27K","3.80%"
"06/13/2021","39,019.0","35,523.2","39,106.4","35,011.9","0.09K","9.84%"
"06/12/2021","35,523.2","37,311.8","37,311.8","35,409.8","0.05K","-4.79%"
"06/11/2021","37,311.8","36,609.7","37,311.8","36,176.5","0.07K","1.92%"
"06/10/2021","36,609.7","37,353.1","38,198.0","36,221.5","0.25K","-1.99%"
"06/09/2021","37,353.1","33,355.3","37,353.1","32,609.0","0.17K","11.99%"
"06/08/2021","33,355.3","33,575.2","33,638.2","32,159.3","0.11K","-0.66%"
"06/07/2021","33,575.5","35,802.8","36,637.9","33,575.5","0.30K","-6.22%"
"06/06/2021","35,802.8","35,529.4","36,226.1","35,529.4","0.15K","0.77%"
