"Date","Price","Open","High","Low","Vol.","Change %"
"10/06/2022","82.088","81.542","82.326","81.487","","0.54%"
"10/05/2022","81.648","81.471","81.728","81.320","","0.21%"
"10/04/2022","81.478","81.517","81.708","81.293","","-0.04%"
"10/03/2022","81.509","81.519","81.938","81.495","","-0.02%"
"09/30/2022","81.522","81.486","81.722","81.154","","0.04%"
"09/29/2022","81.489","81.593","81.971","81.484","","0.07%"
"09/28/2022","81.431","81.875","82.030","81.363","","-0.36%"
"09/27/2022","81.727","81.375","81.794","81.299","","0.12%"
"09/26/2022","81.625","81.325","81.719","81.325","","0.46%"
"09/23/2022","81.255","81.030","81.271","80.765","","0.24%"
"09/22/2022","81.062","80.221","81.145","80.192","","1.41%"
"09/21/2022","79.936","79.789","80.085","79.759","","0.21%"
"09/20/2022","79.769","79.668","79.788","79.593","","0.07%"
"09/19/2022","79.713","79.706","79.838","79.589","","0.02%"
"09/16/2022","79.698","79.844","79.870","79.578","","-0.19%"
"09/15/2022","79.849","79.500","79.856","79.438","","0.49%"
"09/14/2022","79.459","79.594","79.648","79.377","","-0.18%"
"09/13/2022","79.602","79.400","79.632","79.023","","0.31%"
"09/12/2022","79.355","79.653","79.725","79.278","","-0.38%"
"09/09/2022","79.655","79.676","79.685","79.454","","-0.04%"
"09/08/2022","79.690","79.657","79.857","79.649","","0.05%"
"09/07/2022","79.650","79.899","79.977","79.602","","-0.31%"
"09/06/2022","79.895","79.802","79.932","79.743","","0.13%"
"09/05/2022","79.791","79.907","79.912","79.738","","0.09%"
"09/02/2022","79.722","79.690","79.908","79.608","","0.03%"
"09/01/2022","79.701","79.534","79.754","79.300","","0.24%"
"08/31/2022","79.511","79.697","79.717","79.417","","-0.22%"
"08/30/2022","79.683","79.957","79.987","79.421","","-0.36%"
"08/29/2022","79.971","79.992","80.148","79.901","","0.00%"
"08/26/2022","79.971","79.888","79.981","79.698","","0.11%"
"08/25/2022","79.880","79.810","80.012","79.756","","0.10%"
"08/24/2022","79.797","79.873","79.907","79.704","","-0.08%"
"08/23/2022","79.857","79.880","79.920","79.675","","0.00%"
"08/22/2022","79.855","79.881","79.925","79.768","","-0.09%"
"08/19/2022","79.925","79.768","79.925","79.693","","0.21%"
"08/18/2022","79.760","79.386","79.760","79.366","","0.50%"
"08/17/2022","79.360","79.148","79.514","79.148","","0.13%"
"08/16/2022","79.256","79.548","79.606","79.248","","-0.36%"
"08/15/2022","79.546","79.671","79.672","79.468","","-0.13%"
"08/12/2022","79.651","79.610","79.755","79.596","","0.08%"
"08/11/2022","79.585","79.056","79.695","79.056","","0.62%"
"08/10/2022","79.095","79.535","79.610","79.006","","-0.60%"
"08/09/2022","79.573","79.565","79.646","79.489","","-0.02%"
"08/08/2022","79.591","79.407","79.673","79.407","","0.28%"
"08/05/2022","79.365","79.155","79.474","78.918","","0.25%"
"08/04/2022","79.165","79.074","79.818","79.048","","0.06%"
"08/03/2022","79.118","78.611","79.246","78.571","","0.65%"
"08/02/2022","78.605","78.950","79.007","78.397","","-0.46%"
"08/01/2022","78.971","79.183","79.249","78.887","","-0.48%"
"07/29/2022","79.351","79.603","79.603","79.175","","-0.36%"
"07/28/2022","79.638","79.769","79.861","79.584","","-0.28%"
"07/27/2022","79.860","79.833","79.989","79.780","","0.00%"
"07/26/2022","79.862","79.730","79.882","79.693","","0.18%"
"07/25/2022","79.719","79.785","79.898","79.684","","-0.16%"
"07/22/2022","79.845","79.893","79.935","79.802","","-0.04%"
"07/21/2022","79.875","80.022","80.090","79.765","","-0.16%"
"07/20/2022","80.005","79.902","80.075","79.898","","0.18%"
"07/19/2022","79.865","79.977","80.075","79.849","","-0.19%"
"07/18/2022","80.015","79.813","80.025","79.712","","0.29%"
"07/15/2022","79.785","79.864","79.983","79.714","","-0.16%"
"07/14/2022","79.915","79.716","80.235","79.663","","0.29%"
"07/13/2022","79.680","79.515","79.873","79.497","","0.27%"
"07/12/2022","79.465","79.453","79.675","79.453","","0.04%"
"07/11/2022","79.435","79.275","79.585","79.275","","0.18%"
"07/08/2022","79.290","79.181","79.440","79.143","","0.15%"
"07/07/2022","79.175","79.046","79.278","78.905","","0.16%"
"07/06/2022","79.047","79.186","79.398","78.922","","-0.32%"
"07/05/2022","79.298","78.964","79.428","78.956","","0.45%"
"07/04/2022","78.939","78.984","79.088","78.871","","-0.02%"
"07/01/2022","78.956","78.983","79.159","78.818","","-0.01%"
"06/30/2022","78.965","78.900","79.095","78.867","","0.03%"
"06/29/2022","78.945","79.004","79.075","78.856","","-0.06%"
"06/28/2022","78.995","78.445","79.047","78.438","","0.71%"
"06/27/2022","78.440","78.283","78.571","78.196","","0.24%"
"06/24/2022","78.255","78.182","78.375","78.120","","0.14%"
"06/23/2022","78.145","78.220","78.377","78.112","","-0.04%"
"06/22/2022","78.180","78.150","78.410","78.121","","0.06%"
"06/21/2022","78.133","77.937","78.143","77.935","","0.26%"
"06/20/2022","77.927","78.002","78.058","77.879","","-0.03%"
"06/17/2022","77.952","77.993","78.112","77.941","","-0.03%"
"06/16/2022","77.977","78.036","78.123","77.917","","-0.25%"
